year,title,narrative location 1,latitude 1,longitude 1,narrative location 2,latitude 2,longitude 2,narrative location 3,latitude 3,longitude 3,narrative location 4,latitude 4,longitude 4,narrative location 5,latitude 5,longitude 5,narrative location 6,latitude 6,longitude 6,narrative location 7,latitude 7,longitude 7,narrative location 8,latitude 8,longitude 8,narrative location 9,latitude 9,longitude 9,narrative location 10,latitude 10,longitude 10,narrative location 11,latitude 11,longitude 11,narrative location 12,latitude 12,longitude 12,narrative location 13,latitude 13,longitude 13,narrative location 14,latitude 14,longitude 14,narrative location 15,latitude 15,longitude 15,narrative location 16,latitude 16,longitude 16
1982,Il sillabario n.2,Padua,45.40638889,11.87777778,Lido di Venezia,45.38333333,12.35,Milan,45.46694444,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,The Christmas of 1833,Brusuglio,45.5381,9.1768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,Tolstoj,Caucasus,42.26111111,44.12111111,Crimea,45,34,Europe,48.690959,9.14062,Russia,66.41666667,94.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Army Of The Lost Rivers,Carnia,46.39444444,12.77416667,Plöcken Pass,46.60361111,12.945,Drava,46.72246944,12.25298889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,Rinascimento privato,Milan,45.46694444,9.19,Mantua,45.15638889,10.79111111,Ferrara,44.835297,11.619865,Venice,45.43972222,12.33194444,Urbino,43.72523889,12.6372,Rome,41.89305556,12.48277778,Orvieto,42.71666667,12.1,Bologna,44.49388889,11.34277778,,,,,,,,,,,,,,,,,,,,,,,,
1987,Islands of Paradise,New Ireland and Manus,,,France,47,2,Spain,40.2,-3.5,Oceania,-27.46777778,153.0277778,Sydney,-33.86777778,151.21,Bismarck Archipelago,-3.808714,149.026611,Gaiarine,45.88333333,12.48333333,Dalmatia,43.812761,16.218756,,,,,,,,,,,,,,,,,,,,,,,,
1988,Night's Lies,Venice,45.43972222,12.33194444,Paris,48.85694444,2.351388889,Mediterranean Sea,38,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,Big night,Milan,45.46694444,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,La Chimera,Sesia,45.13553889,8.570444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,The Road to Rome,Urbino,43.72523889,12.6372,Rome,41.89305556,12.48277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,"Night-time, house by house",Cefalù,38.03948056,14.02206111,Palermo,38.11565806,13.36126194,Tunis,36.80083333,10.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Plebeian soul,Nocera Inferiore,40.75,14.63333333,Cava de' Tirreni,40.70083333,14.70555556,Vietri sul Mare,40.67222222,14.72777778,Naples,40.83333333,14.25,Corbara,40.71666667,14.6,Sant'Egidio del Monte Albino,40.74027778,14.59444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,House of the father,Rome,41.89305556,12.48277778,Anzio,41.44722222,12.62833333,Grosseto,42.77222222,11.10888889,Florence,43.77138889,11.25416667,Sabaudia,41.29985,13.02477,San Felice Circeo,41.23527778,13.09555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,A Walk in the Shadows,Apulia,41.00861111,16.51277778,Yugoslavia,44.82055556,20.46222222,Switzerland,46.798562,8.231973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
