year,nominees
1957,"
Antonio Aniante, La rosa di zolfo (Cappelli)
Giuseppe Bartolucci, Lettere d’amore (Feltrinelli)
Oddone Beltrami, Il quarto Michele (Mondadori)
Roberto Bosi, Veronica (Mondadori)
Gian Paolo Callegari, Janchicedda (Mondadori)
Gino Cesaretti, I pipistrelli (Einaudi)
Luigi Davì, Gimkana-Cross (Einaudi)
Ugo Facco de Lagarda, Le figlie inquiete (Bompiani)
Carlo Laurenzi, Due anni a Roma (Neri Pozza)
Arturo Loria, Settanta favole (Sansoni)
Remo Lugli, Il piano di sopra (Monadori)
Armando Meoni, Assedio a Firenze (Vallecchi)
Carlo Montella, Incendio al catasto (Vallecchi)
Gino Montesanto, Cielo chiuso (Massimo)
Elsa Morante, L’isola di Arturo (Einaudi)
Uberto Paolo Quintavalle, Segnati a dito (La Parrucca)
Silvia Risolo, È tardi, ormai, Madeleine (Vallecchi)
Giovanni Vittorio Rossi, Il granchio gioca col mare (Mondadori)
Mario Schettini, I ragazzi di Milano (Mondadori)
Orio Vergani, Udienza a Porte chiuse (Rizzoli)
Giovanna Zangrandi, Orsola nelle stagioni (Mondadori)
"
1958,"
Enzo Bettiza, Il fantasma di Trieste (Longanesi)
Oliviero Honoré Bianchi, Notte del diavolo (Mondadori)
Dino Buzzati, Sessanta racconti (Mondadori)
Giancarlo Buzzi, Il senatore (Feltrinelli)
Aldo Camerino, Il salotto giallo (Rebellato)
Carlo Cassola, Il soldato (Feltrinelli)
Gian Antonio Cibotto, La coda del parroco (Vallecchi)
Mario Devena, Un requiem per Addolorata (Lerici)
Giancarlo Fusco, Le rose del ventennio (Einaudi)
Tommaso Landolfi, Ottavio di Saint Vincent (Vallecchi)
Giuseppe Longo, Foglietti e pianete (Cappelli)
Giovanni Parente, I giorni della creta (Casini)
Luigi Zampa, Il successo (Carucci)
"
1959,"
Oddone Beltrami, La pietra d’inciampo (Ceschina)
Achille Campanile, Il povero Piero (Rizzoli)
Beppe Fenoglio, Primavera di bellezza (Garzanti)
Massimo Franciosa, La finta sorella (Vallecchi)
Augusto Frassineti, Misteri dei ministeri ed altri misteri (Longanesi)
Teodoro Giùttari, Notti bianche al carcere (Rizzoli)
Enrico La Stella, Il silenzio è forte (Sugar)
Nicola Madia, Facce sporche (Carulli)
Ottiero Ottieri, Donnarumma all’assalto (Garzanti)
Pier Paolo Pasolini, Una vita violenta (Garzanti)
Mario Praz, La casa della vita (Mondadori)
Uberto Paolo Quintavalle, Capitale mancata (Feltrinelli)
Beatrice Solinas Donghi, L’estate della menzogna (Feltrinelli)
Fernando Tempesti, La raganella (Feltrinelli)
Giovanni Testori, Il ponte della Ghisolfa (Feltrinelli)
Giuseppe Tomasi di Lampedusa, II Gattopardo (Feltrinelli)
"
1960,"
Alberto Arbasino, L’anonimo lombardo (Feltrinelli)
Giovanni Arpino, La suora giovane (Einaudi)
Laudamia Bonanni, L’imputata (Bompiani)
Raffaello Brignetti, La riva di Charleston (Einaudi)
Italo Calvino, Il cavaliere inesistente (Einaudi)
Manlio Cancogni, Una parigina (Feltrinelli)
Carlo Cassola, La ragazza di Bube (Einaudi)
Laura Di Falco, Una donna disponibile (Salvatore Siascia)
Ettore Lo Gatto,  Puškin. Storia di un poeta e del suo eroe (Mursia)
Claudia Patrizi, Stanotte cambia vento (Rizzoli)
Mario Picchi, Roma di giorno (Lerici)
Renzo Rosso, L’adescamento (Feltrinelli)
Furio Sampoli, Lo specchio nero (Vallecchi)
Sergio Saviane, Festa di laurea (Parenti)
Vittorio Sermonti, Giorni travestiti da giorni (Feltrinelli)
"
1961,"
Giovanni Arpino, Un delitto d’onore (Mondadori)
Gian Piero Bona, Il soldato nudo (Lerici)
Rodolfo Celletti, Viale Bianca Maria (Feltrinelli)
Fausta Cialente, Ballata levantina (Feltrinelli)
Augusto Frassineti, L’unghia dell’asino (Garzanti)
Natalia Ginzburg, Le voci della sera (Einaudi)
Giovanni Guaita, Florestano e i ladroni (Vallecchi)
Raffaele La Capria, Ferito a morte (Bompiani)
Nino Palumbo, Pane verde (Parenti)
Lalla Romano, L’uomo che parlava solo (Mondadori)
Leonardo Sciascia, Il giorno della civetta (Einaudi)
Umberto Simonetta, Lo sbarbato (Parenti)
Saverio Strati, Mani vuote (Mondadori)
Giovanni Testori, Il fabbricone (Feltrinelli)
Fabio Tombari, L’incontro (Mondadori)
Brunello Vandano, Pelle di Satana (Canesi)
"
1962,"
Anna Banti, Le mosche d’oro (Mondadori)
Antonio Barolini, Una lunga pazzia (Feltrinelli)
Alberto Bevilacqua, Una città in amore (Rizzoli)
Vera Cacciatore, La palestra (Salvatore Sciascia)
Giuseppe Cassieri, Il calcinaccio (Bompiani)
Giuseppe Longo, La Sicilia è un’isola (Martello)
Vito Magliocco, India da zero all’infinito (Nuova Edizione d’Italia)
Lucio Mastronardi, Il maestro di Vigevano (Einaudi)
Giuseppe Mazzaglia, La dama selvatica (Feltrinelli)
Gianna Murri, Gli ingenui intriganti (Mondadori)
Lanfranco Orsini, L’eclisse (Vallecchi)
Michele Prisco, La dama di piazza (Rizzoli)
Giorgio Saviane, L’inquisito (Lerici)
Mario Tobino, Il clandestino (Mondadori)
Marcello Venturi, L’ultimo veliero (Einaudi)
Alberto Vigevani, Le foglie di San Siro (Rizzoli)
Paolo Volponi, Memoriale (Garzanti)
"
1963,"
Oddone Beltrami, La foresta (Cino Del Duca)
Beppe Fenoglio, Un giorno di fuoco (Garzanti)
Natalia Ginzburg, Lessico famigliare (Einaudi)
Tommaso Landolfi, Rien va (Vallecchi)
Primo Levi, La tregua (Einaudi)
Guiscardo Nieri, L’estro armonico (Lerici)
Fortunato Pasqualino, Mio padre Adamo (Cappelli)
Antonio Pizzuto, Ravenna (Lerici)
Renzo Rosso, La dura spina (Feltrinelli)
Giorgio Saviane, Il papa (Rizzoli)
Pier Angelo Soldini, Il cavallo di Caligola (Ceschina)
Piero Spalletti, Esame di riparazione (Feltrinelli)
Fulvio Tomizza, La ragazza di Petrovia (Mondadori)
Dante Troisi, L’odore dei cattolici (Canesi)
"
1964,"
Giovanni Arpino, L’ombra delle colline (Mondadori)
Arrigo Benedetti, Il passo dei Longobardi (Mondadori)
Carlo Bernari, Era l’anno del sole quieto (Mondadori)
Alberto Bevilacqua, La Califfa (Rizzoli)
Laudomia Bonanni, L’adultera (Bompiani)
Bruno Fonzi, Il Maligno (Einaudi)
Augusto Frassineti, Un capitano a riposo (Feltrinelli)
Davide Lajolo, Il “voltagabbana” (Il Saggiatore)
Francesco Leonetti, L’incompleto (Garzanti)
Enzo Marangolo, Un posto tranquillo (Bompiani)
Milena Milani, La ragazza di nome Giulio (Longanesi)
Ottiero Ottieri, L’impagliatore di sedie (Bompiani)
Nino Palumbo, Oggi è sabato e domani è domenica (Canesi)
Pier Maria Pasinetti, La confusione (Bompiani)
Aldo Rosselli, Il megalomane (Vallecchi)
Dino Terra, Una storia meravigliosa (Ceschina)
Carlo Villa, La nausea media (Einaudi)
"
1965,"
Mario Bonfantini, La svolta (Feltrinelli)
Francesco Burdin, Caduta in piazza del Popolo (Cappelli)
Manlio Cancogni, La linea del Tomori (Mondadori)
Giuseppe Cassieri, Le trombe (Bompiani)
Gian Antonio Cibotto, La vaca mora (Vallecchi)
Goffredo Parise, Il padrone (Feltrinelli)
Giorgio Saviane, Il passo lungo (Garzanti)
Renzo Tomatis, Il laboratorio (Einaudi)
Marcello Venturoli, Lo sprecadonne (Rizzoli)
Paolo Volponi, La macchina mondiale (Garzanti)
"
1966,"
Alessandro Bonsanti, La nuova stazione di Firenze (Mondadori)
Pietro Buttitta, Il volantino (Rizzoli)
Italo Calvino, Le cosmicomiche (Einaudi)
Fausta Cialente, Un inverno freddissimo (Feltrinelli)
Gianni Clerici, Fuori rosa (Vallecchi)
Laura Conti, La condizione sperimentale (Mondadori)
Inìsero Cremaschi, A scopo di lucro (Mondadori)
Cesira Fiori, Una donna nelle carceri fasciste (Editori Riuniti)
Massino Grillandi, La casa di Faenza (Edizioni dell’Albero)
Luigi Malerba, Il serpente (Bompiani)
Lino Mezzacane, La ragnatela (Vallecchi)
Augusto Monti, Val d’Armirolo, ultimo amore (Mursia)
Giovanni Orelli, L’anno della valanga (Mondadori)
Michele Prisco, Una spirale di nebbia (Rizzoli)
Piero Santi, Libertà condizionata (Vallecchi)
Leonardo Sciascia, A ciascuno il suo (Einaudi)
Carla Vasio, L’orizzonte (Feltrinelli)
"
