year,nominees
2019,"
Valerio Aiolli, Nero ananas (Voland)
Paola Cereda, Quella metà di noi (Perrone)
Benedetta Cibrario, Il rumore del mondo (Mondadori)
Mauro Covacich, Di chi è questo cuore (La nave di Teseo)
Claudia Durastanti, La straniera (La nave di Teseo)
Pier Paolo Giannubilo, Il risolutore (Rizzoli)
Marina Mander, L’età straniera (Marsilio)
Eleonora Marangoni, Lux (Neri Pozza)
Cristina Marconi, Città irreale (Ponte alle Grazie)
Marco Missiroli, Fedeltà (Einaudi)
Antonio Scurati, M. Il figlio del secolo (Bompiani)
Nadia Terranova, Addio fantasmi (Einaudi)
"
2020,"
Silvia Ballestra, La nuova stagione (Bompiani)
Marta Barone, Città sommersa (Bompiani)
Jonathan Bazzi, Febbre (Fandango Libri)
Gianrico Carofiglio, La misura del tempo (Einaudi)
Gian Arturo Ferrari, Ragazzo italiano (Feltrinelli)
Alessio Forgione, Giovanissimi (NN Editore)
Giuseppe Lupo, Breve storia del mio silenzio (Marsilio)
Daniele Mencarelli, Tutto chiede salvezza (Mondadori)
Valeria Parrella, Almarina (Einaudi)
Remo Rapino, Vita, morte e miracoli di Bonfiglio Liborio (Minimum Fax)
Sandro Veronesi, Il colibrì (La nave di Teseo)
Gian Mario Villalta, L’apprendista (SEM)
"
2021,"
Andrea Bajani, Il libro delle case (Feltrinelli)
Edith Bruck, Il pane perduto (La nave di Teseo)
Maria Grazia Calandrone, Splendi come vita (Ponte alle Grazie)
Giulia Caminito, L’acqua del lago non è mai dolce (Bompiani)
Teresa Ciabatti, Sembrava bellezza (Mondadori)
Donatella Di Pietrantonio, Borgo Sud (Einaudi)
Lisa Ginzburg, Cara pace (Ponte alle Grazie)
Giulio Mozzi, Le ripetizioni (Marsilio)
Daniele Petruccioli, La casa delle madri (TerraRossa)
Emanuele Trevi, Due vite (Neri Pozza)
Alice Urciuolo, Adorazione (66thand2nd)
Roberto Venturini, L’anno che a Roma fu due volte Natale (SEM)
"
